lower_relations,count
serve as,4
serve in,3
serve on,3
served as,9
served full term without,3
served under,1
set,7
set for,1
set record for,2
set terms for,2
set up,6
settle,7
share,2
shepherd,1
shield,1
shields,1
shift,6
shift to,1
shocked by,1
shore up,1
show,9
showed,1
shrink,1
side with,1
sign,85
sign deal with,3
sign into law,2
signed,2
silence,1
simplify,1
sing in,1
sit as,1
sit in,1
sit on,3
sits,2
size,1
skeptical of,1
sketch,1
slow,1
slow to use force against,2
sold,2
sought,2
speak,2
speak about,1
speak at,2
speak out against,1
speak to,1
specialize in,1
specify,2
speculate,1
speculates,1
speculation over,1
spend,1
spent more on,1
split,1
sponsor,9
spouse,5
stabilize,3
start,4
state,13
stay,1
stay ahead of,1
stay at,2
stay with,1
stayed in office despite,1
steal,1
stem,1
stepmother,2
stimulate,1
stop,3
stop short of,1
strain,1
strengthen,1
strengthen ties with,2
stress,2
structure,1
study at,1
subject of,21
subject to,1
subjected to,3
submit,1
subpoena,3
subsidize,3
succeed,5
succeed to,1
succeeded,1
succeeded by,2
sue,1
sued,3
suffer,1
suggest,5
suggests,1
sum up,1
summarize,1
supersede,1
supervise,3
supply,2
support,106
support rose,1
supported,4
supporter of,1
supports,5
surge,1
surrender,1
survive,1
survived,1
suspend,8
sustain,1
sustained,1
swayed by,1
swear in,3
sweep,1
swift,1
switch off,1
switching to,1
swore in,1
sworn in,1
sworn in as,1
sworn-in,1
symbolize,2
sympathize,1
tag,1
take,5
take a firmer line on,1
take control,1
take effect on,1
take interest in,1
take leave from,1
take office,1
take position at,1
take responsibility for,1
taking positions characteristic of,1
talk,1
talk about,2
tally,1
tardy response to,1
target,6
target of,1
taught at,1
teach,6
teach at,1
tell,1
tensions between,1
terminate,1
test,1
tested positive for,2
testify,2
testify before,2
testify to,1
think,2
threaten,5
threaten to veto,1
tie,2
tied,1
tilt,2
title,1
told,2
took,1
took office,1
took office as,1
took place during,1
top,1
tour,2
tour with,2
track,1
train at,1
transfer,4
transfer to,2
transferred to,1
transform,2
transition,1
translate,1
travel,4
travel to,3
treated,1
treated with,1
trust,3
turn down,1
turn over,9
turned over,2
tweet,1
unconcerned,1
undergo,3
undermine,2
underperform,1
unify,1
uphold,5
urge,15
urge toward,1
use,50
used by,1
v.,2
value,1
vest,1
